id,date,store_nbr,family,sales,onpromotion
164,2024-01-14,3,GROCERY,292.14,0
165,2024-01-14,3,PRODUCE,139.02,0
166,2024-01-14,3,DAIRY,144.78,3
167,2024-01-14,3,HOUSEHOLD,90.18,3
168,2024-01-15,1,GROCERY,166.22,0
169,2024-01-15,1,PRODUCE,109.97,0
170,2024-01-15,1,DAIRY,82.99,0
171,2024-01-15,1,HOUSEHOLD,20.59,3
172,2024-01-15,2,GROCERY,158.81,0
173,2024-01-15,2,PRODUCE,124.61,0
174,2024-01-15,2,DAIRY,104.3,3
175,2024-01-15,2,HOUSEHOLD,23.33,3
176,2024-01-15,3,GROCERY,261.48,0
177,2024-01-15,3,PRODUCE,196.17,3
178,2024-01-15,3,DAIRY,97.17,3
179,2024-01-15,3,HOUSEHOLD,59.15,0
180,2024-01-16,1,GROCERY,160.17,0
181,2024-01-16,1,PRODUCE,37.07,0
182,2024-01-16,1,DAIRY,88.7,3
183,2024-01-16,1,HOUSEHOLD,27.99,3
184,2024-01-16,2,GROCERY,182.55,0
185,2024-01-16,2,PRODUCE,161.61,3
186,2024-01-16,2,DAIRY,109.04,3
187,2024-01-16,2,HOUSEHOLD,26.6,0
188,2024-01-16,3,GROCERY,297.97,3
189,2024-01-16,3,PRODUCE,222.08,3
190,2024-01-16,3,DAIRY,86.06,0
191,2024-01-16,3,HOUSEHOLD,55.72,0
192,2024-01-17,1,GROCERY,164.21,0
193,2024-01-17,1,PRODUCE,208.64,3
194,2024-01-17,1,DAIRY,54.57,3
195,2024-01-17,1,HOUSEHOLD,44.13,0
196,2024-01-17,2,GROCERY,231.92,3
197,2024-01-17,2,PRODUCE,128.4,3
198,2024-01-17,2,DAIRY,112.22,0
199,2024-01-17,2,HOUSEHOLD,38.83,0
200,2024-01-17,3,GROCERY,361.06,3
201,2024-01-17,3,PRODUCE,108.44,0
202,2024-01-17,3,DAIRY,105.03,0
203,2024-01-17,3,HOUSEHOLD,33.66,0
204,2024-01-18,1,GROCERY,180.81,3
205,2024-01-18,1,PRODUCE,112.27,3
206,2024-01-18,1,DAIRY,64.97,0
207,2024-01-18,1,HOUSEHOLD,35.5,0
208,2024-01-18,2,GROCERY,180.1,3
209,2024-01-18,2,PRODUCE,200.92,0
210,2024-01-18,2,DAIRY,81.15,0
211,2024-01-18,2,HOUSEHOLD,76.47,0
212,2024-01-18,3,GROCERY,208.63,0
213,2024-01-18,3,PRODUCE,147.27,0
214,2024-01-18,3,DAIRY,155.21,0
215,2024-01-18,3,HOUSEHOLD,24.07,0
216,2024-01-19,1,GROCERY,161.91,3
217,2024-01-19,1,PRODUCE,71.38,0
218,2024-01-19,1,DAIRY,74.34,0
219,2024-01-19,1,HOUSEHOLD,44.16,0
220,2024-01-19,2,GROCERY,232.09,0
221,2024-01-19,2,PRODUCE,100.17,0
222,2024-01-19,2,DAIRY,59.59,0
223,2024-01-19,2,HOUSEHOLD,29.73,0
224,2024-01-19,3,GROCERY,272.86,0
225,2024-01-19,3,PRODUCE,156.53,0
226,2024-01-19,3,DAIRY,64.1,0
227,2024-01-19,3,HOUSEHOLD,45.29,0
228,2024-01-20,1,GROCERY,230.61,0
229,2024-01-20,1,PRODUCE,203.03,0
230,2024-01-20,1,DAIRY,90.6,0
231,2024-01-20,1,HOUSEHOLD,44.93,0
232,2024-01-20,2,GROCERY,205.44,0
233,2024-01-20,2,PRODUCE,88.86,0
234,2024-01-20,2,DAIRY,101.42,0
235,2024-01-20,2,HOUSEHOLD,59.92,0
236,2024-01-20,3,GROCERY,305.11,0
237,2024-01-20,3,PRODUCE,128.16,0
238,2024-01-20,3,DAIRY,94.21,0
239,2024-01-20,3,HOUSEHOLD,31.74,0
240,2024-01-21,1,GROCERY,170.2,0
241,2024-01-21,1,PRODUCE,138.06,0
242,2024-01-21,1,DAIRY,48.08,0
243,2024-01-21,1,HOUSEHOLD,31.39,0
244,2024-01-21,2,GROCERY,254.6,0
245,2024-01-21,2,PRODUCE,215.9,0
246,2024-01-21,2,DAIRY,101.94,0
247,2024-01-21,2,HOUSEHOLD,72.84,0
248,2024-01-21,3,GROCERY,271.81,0
249,2024-01-21,3,PRODUCE,111.38,0
250,2024-01-21,3,DAIRY,104.51,0
251,2024-01-21,3,HOUSEHOLD,102.14,0
252,2024-01-22,1,GROCERY,184.5,0
253,2024-01-22,1,PRODUCE,109.43,0
254,2024-01-22,1,DAIRY,109.85,0
255,2024-01-22,1,HOUSEHOLD,31.48,0
256,2024-01-22,2,GROCERY,216.46,0
257,2024-01-22,2,PRODUCE,125.7,0
258,2024-01-22,2,DAIRY,80.59,0
259,2024-01-22,2,HOUSEHOLD,89.08,0
260,2024-01-22,3,GROCERY,281.14,0
261,2024-01-22,3,PRODUCE,58.23,0
262,2024-01-22,3,DAIRY,92.07,0
263,2024-01-22,3,HOUSEHOLD,51.48,3
264,2024-01-23,1,GROCERY,180.47,0
265,2024-01-23,1,PRODUCE,42.22,0
266,2024-01-23,1,DAIRY,40.83,0
267,2024-01-23,1,HOUSEHOLD,0,0
268,2024-01-23,2,GROCERY,199.91,0
269,2024-01-23,2,PRODUCE,107.39,0
270,2024-01-23,2,DAIRY,89.23,0
271,2024-01-23,2,HOUSEHOLD,20.35,3
272,2024-01-23,3,GROCERY,203.28,0
273,2024-01-23,3,PRODUCE,25.26,0
274,2024-01-23,3,DAIRY,126.2,3
275,2024-01-23,3,HOUSEHOLD,50.19,3
276,2024-01-24,1,GROCERY,184.78,0
277,2024-01-24,1,PRODUCE,120.74,0
278,2024-01-24,1,DAIRY,66.43,0
279,2024-01-24,1,HOUSEHOLD,50.33,3
280,2024-01-24,2,GROCERY,198.49,0
281,2024-01-24,2,PRODUCE,82.47,0
282,2024-01-24,2,DAIRY,91.44,3
283,2024-01-24,2,HOUSEHOLD,23.96,3
284,2024-01-24,3,GROCERY,176.51,0
285,2024-01-24,3,PRODUCE,168.93,3
286,2024-01-24,3,DAIRY,124.61,3
287,2024-01-24,3,HOUSEHOLD,37.13,0
288,2024-01-25,1,GROCERY,151.09,0
289,2024-01-25,1,PRODUCE,105.45,0
290,2024-01-25,1,DAIRY,108.15,3
291,2024-01-25,1,HOUSEHOLD,29.53,3
292,2024-01-25,2,GROCERY,189.66,0
293,2024-01-25,2,PRODUCE,102.79,3
294,2024-01-25,2,DAIRY,99.71,3
295,2024-01-25,2,HOUSEHOLD,11.95,0
296,2024-01-25,3,GROCERY,282.11,3
297,2024-01-25,3,PRODUCE,163.01,3
298,2024-01-25,3,DAIRY,132.47,0
299,2024-01-25,3,HOUSEHOLD,70.49,0
300,2024-01-26,1,GROCERY,185.9,0
301,2024-01-26,1,PRODUCE,78.81,3
302,2024-01-26,1,DAIRY,92.66,3
303,2024-01-26,1,HOUSEHOLD,12.01,0
304,2024-01-26,2,GROCERY,251.63,3
305,2024-01-26,2,PRODUCE,157.32,3
306,2024-01-26,2,DAIRY,72.6,0
307,2024-01-26,2,HOUSEHOLD,82.52,0
308,2024-01-26,3,GROCERY,306.17,3
309,2024-01-26,3,PRODUCE,31.71,0
310,2024-01-26,3,DAIRY,109.44,0
311,2024-01-26,3,HOUSEHOLD,36.04,0
312,2024-01-27,1,GROCERY,238.37,3
313,2024-01-27,1,PRODUCE,157.08,3
314,2024-01-27,1,DAIRY,88.57,0
315,2024-01-27,1,HOUSEHOLD,0,0
316,2024-01-27,2,GROCERY,250.81,3
317,2024-01-27,2,PRODUCE,176.54,0
318,2024-01-27,2,DAIRY,124.83,0
319,2024-01-27,2,HOUSEHOLD,96.61,0
320,2024-01-27,3,GROCERY,348.96,0
321,2024-01-27,3,PRODUCE,28.34,0
322,2024-01-27,3,DAIRY,136.09,0
323,2024-01-27,3,HOUSEHOLD,0,0
324,2024-01-28,1,GROCERY,284.72,3
325,2024-01-28,1,PRODUCE,121.62,0
326,2024-01-28,1,DAIRY,65.81,0
327,2024-01-28,1,HOUSEHOLD,81.38,0
328,2024-01-28,2,GROCERY,261.72,0
329,2024-01-28,2,PRODUCE,32.87,0
330,2024-01-28,2,DAIRY,106.57,0
331,2024-01-28,2,HOUSEHOLD,28.24,0
332,2024-01-28,3,GROCERY,290.95,0
333,2024-01-28,3,PRODUCE,129.83,0
334,2024-01-28,3,DAIRY,149.21,0
335,2024-01-28,3,HOUSEHOLD,12.13,0
336,2024-01-29,1,GROCERY,172.09,0
337,2024-01-29,1,PRODUCE,158.93,0
338,2024-01-29,1,DAIRY,58.79,0
339,2024-01-29,1,HOUSEHOLD,35.97,0
340,2024-01-29,2,GROCERY,207.53,0
341,2024-01-29,2,PRODUCE,81.51,0
342,2024-01-29,2,DAIRY,94.27,0
343,2024-01-29,2,HOUSEHOLD,41.5,0
344,2024-01-29,3,GROCERY,212.34,0
345,2024-01-29,3,PRODUCE,226.8,0
346,2024-01-29,3,DAIRY,113.99,0
347,2024-01-29,3,HOUSEHOLD,42.28,0
348,2024-01-30,1,GROCERY,153.24,0
349,2024-01-30,1,PRODUCE,63.26,0
350,2024-01-30,1,DAIRY,84.45,0
351,2024-01-30,1,HOUSEHOLD,29.66,0
352,2024-01-30,2,GROCERY,213.97,0
353,2024-01-30,2,PRODUCE,104.35,0
354,2024-01-30,2,DAIRY,93.87,0
355,2024-01-30,2,HOUSEHOLD,36.92,0
356,2024-01-30,3,GROCERY,261.62,0
357,2024-01-30,3,PRODUCE,123.38,0
358,2024-01-30,3,DAIRY,114.77,0
359,2024-01-30,3,HOUSEHOLD,63.83,0
360,2024-01-31,1,GROCERY,163.73,0
361,2024-01-31,1,PRODUCE,60.52,0
362,2024-01-31,1,DAIRY,57.48,0
363,2024-01-31,1,HOUSEHOLD,19.13,0
364,2024-01-31,2,GROCERY,178.97,0
365,2024-01-31,2,PRODUCE,151.8,0
366,2024-01-31,2,DAIRY,83.85,0
367,2024-01-31,2,HOUSEHOLD,73.54,0
368,2024-01-31,3,GROCERY,305.45,0
369,2024-01-31,3,PRODUCE,134.54,0
370,2024-01-31,3,DAIRY,72.09,0
371,2024-01-31,3,HOUSEHOLD,33.17,3
372,2024-02-01,1,GROCERY,164.68,0
373,2024-02-01,1,PRODUCE,37.36,0
374,2024-02-01,1,DAIRY,66.12,0
375,2024-02-01,1,HOUSEHOLD,37.41,0
376,2024-02-01,2,GROCERY,191.92,0
377,2024-02-01,2,PRODUCE,78.16,0
378,2024-02-01,2,DAIRY,73.07,0
379,2024-02-01,2,HOUSEHOLD,70.47,3
380,2024-02-01,3,GROCERY,235.45,0
381,2024-02-01,3,PRODUCE,89.09,0
382,2024-02-01,3,DAIRY,111.97,3
383,2024-02-01,3,HOUSEHOLD,64.06,3
384,2024-02-02,1,GROCERY,152.65,0
385,2024-02-02,1,PRODUCE,110.21,0
386,2024-02-02,1,DAIRY,78.38,0
387,2024-02-02,1,HOUSEHOLD,41.1,3
388,2024-02-02,2,GROCERY,237.42,0
389,2024-02-02,2,PRODUCE,88.07,0
390,2024-02-02,2,DAIRY,122.36,3
391,2024-02-02,2,HOUSEHOLD,20.06,3
392,2024-02-02,3,GROCERY,228.81,0
393,2024-02-02,3,PRODUCE,236.79,3
394,2024-02-02,3,DAIRY,137.9,3
395,2024-02-02,3,HOUSEHOLD,46.77,0
396,2024-02-03,1,GROCERY,171.19,0
397,2024-02-03,1,PRODUCE,135.9,0
398,2024-02-03,1,DAIRY,88.54,3
399,2024-02-03,1,HOUSEHOLD,17.19,3
400,2024-02-03,2,GROCERY,225.15,0
401,2024-02-03,2,PRODUCE,178.8,3
402,2024-02-03,2,DAIRY,75.46,3
403,2024-02-03,2,HOUSEHOLD,56.89,0
404,2024-02-03,3,GROCERY,353.45,3
405,2024-02-03,3,PRODUCE,147.38,3
406,2024-02-03,3,DAIRY,142.66,0
407,2024-02-03,3,HOUSEHOLD,74.97,0
408,2024-02-04,1,GROCERY,185.36,0
409,2024-02-04,1,PRODUCE,97.55,3
410,2024-02-04,1,DAIRY,112.46,3
411,2024-02-04,1,HOUSEHOLD,6.46,0
412,2024-02-04,2,GROCERY,281.5,3
413,2024-02-04,2,PRODUCE,121.77,3
414,2024-02-04,2,DAIRY,103.09,0
415,2024-02-04,2,HOUSEHOLD,53.03,0
416,2024-02-04,3,GROCERY,348.04,3
417,2024-02-04,3,PRODUCE,233.24,0
418,2024-02-04,3,DAIRY,125.25,0
419,2024-02-04,3,HOUSEHOLD,46.42,0
420,2024-02-05,1,GROCERY,171.0,3
421,2024-02-05,1,PRODUCE,143.24,3
422,2024-02-05,1,DAIRY,76.07,0
423,2024-02-05,1,HOUSEHOLD,58.29,0
424,2024-02-05,2,GROCERY,222.6,3
425,2024-02-05,2,PRODUCE,114.4,0
426,2024-02-05,2,DAIRY,84.01,0
427,2024-02-05,2,HOUSEHOLD,37.71,0
428,2024-02-05,3,GROCERY,241.13,0
429,2024-02-05,3,PRODUCE,42.04,0
430,2024-02-05,3,DAIRY,115.24,0
431,2024-02-05,3,HOUSEHOLD,63.65,0
432,2024-02-06,1,GROCERY,227.39,3
433,2024-02-06,1,PRODUCE,176.11,0
434,2024-02-06,1,DAIRY,65.53,0
435,2024-02-06,1,HOUSEHOLD,31.8,0
436,2024-02-06,2,GROCERY,204.18,0
437,2024-02-06,2,PRODUCE,201.32,0
438,2024-02-06,2,DAIRY,58.5,0
439,2024-02-06,2,HOUSEHOLD,50.25,0
440,2024-02-06,3,GROCERY,198.48,0
441,2024-02-06,3,PRODUCE,0,0
442,2024-02-06,3,DAIRY,63.9,0
443,2024-02-06,3,HOUSEHOLD,11.25,0
444,2024-02-07,1,GROCERY,188.42,0
445,2024-02-07,1,PRODUCE,60.55,0
446,2024-02-07,1,DAIRY,66.73,0
447,2024-02-07,1,HOUSEHOLD,11.69,0
448,2024-02-07,2,GROCERY,219.07,0
449,2024-02-07,2,PRODUCE,63.41,0
450,2024-02-07,2,DAIRY,105.21,0
451,2024-02-07,2,HOUSEHOLD,18.01,0
452,2024-02-07,3,GROCERY,219.08,0
453,2024-02-07,3,PRODUCE,140.59,0
454,2024-02-07,3,DAIRY,100.95,0
455,2024-02-07,3,HOUSEHOLD,83.66,0
456,2024-02-08,1,GROCERY,169.54,0
457,2024-02-08,1,PRODUCE,47.99,0
458,2024-02-08,1,DAIRY,62.61,0
459,2024-02-08,1,HOUSEHOLD,22.26,0
460,2024-02-08,2,GROCERY,222.04,0
461,2024-02-08,2,PRODUCE,130.9,0
462,2024-02-08,2,DAIRY,83.28,0
463,2024-02-08,2,HOUSEHOLD,58.72,0
464,2024-02-08,3,GROCERY,226.1,0
465,2024-02-08,3,PRODUCE,126.81,0
466,2024-02-08,3,DAIRY,103.86,0
467,2024-02-08,3,HOUSEHOLD,86.39,0
468,2024-02-09,1,GROCERY,165.29,0
469,2024-02-09,1,PRODUCE,79.89,0
470,2024-02-09,1,DAIRY,56.57,0
471,2024-02-09,1,HOUSEHOLD,44.8,0
472,2024-02-09,2,GROCERY,190.02,0
473,2024-02-09,2,PRODUCE,129.19,0
474,2024-02-09,2,DAIRY,56.02,0
475,2024-02-09,2,HOUSEHOLD,62.56,0
476,2024-02-09,3,GROCERY,202.99,0
477,2024-02-09,3,PRODUCE,92.49,0
478,2024-02-09,3,DAIRY,119.85,0
479,2024-02-09,3,HOUSEHOLD,11.25,3
480,2024-02-10,1,GROCERY,198.96,0
481,2024-02-10,1,PRODUCE,114.91,0
482,2024-02-10,1,DAIRY,68.66,0
483,2024-02-10,1,HOUSEHOLD,67.91,0
484,2024-02-10,2,GROCERY,289.68,0
485,2024-02-10,2,PRODUCE,28.83,0
486,2024-02-10,2,DAIRY,75.62,0
487,2024-02-10,2,HOUSEHOLD,62.07,3
488,2024-02-10,3,GROCERY,244.79,0
489,2024-02-10,3,PRODUCE,136.14,0
490,2024-02-10,3,DAIRY,148.46,3
491,2024-02-10,3,HOUSEHOLD,70.1,3
492,2024-02-11,1,GROCERY,195.66,0
493,2024-02-11,1,PRODUCE,115.94,0
494,2024-02-11,1,DAIRY,72.06,0
495,2024-02-11,1,HOUSEHOLD,60.19,3
496,2024-02-11,2,GROCERY,231.11,0
497,2024-02-11,2,PRODUCE,155.06,0
498,2024-02-11,2,DAIRY,111.54,3
499,2024-02-11,2,HOUSEHOLD,45.52,3
500,2024-02-11,3,GROCERY,284.53,0
501,2024-02-11,3,PRODUCE,181.02,3
502,2024-02-11,3,DAIRY,118.7,3
503,2024-02-11,3,HOUSEHOLD,81.2,0
504,2024-02-12,1,GROCERY,196.12,0
505,2024-02-12,1,PRODUCE,102.21,0
506,2024-02-12,1,DAIRY,94.89,3
507,2024-02-12,1,HOUSEHOLD,42.87,3
508,2024-02-12,2,GROCERY,227.75,0
509,2024-02-12,2,PRODUCE,153.2,3
510,2024-02-12,2,DAIRY,106.38,3
511,2024-02-12,2,HOUSEHOLD,58.78,0
512,2024-02-12,3,GROCERY,293.03,3
513,2024-02-12,3,PRODUCE,98.56,3
514,2024-02-12,3,DAIRY,101.35,0
515,2024-02-12,3,HOUSEHOLD,0,0
516,2024-02-13,1,GROCERY,167.69,0
517,2024-02-13,1,PRODUCE,130.37,3
518,2024-02-13,1,DAIRY,102.57,3
519,2024-02-13,1,HOUSEHOLD,35.34,0
520,2024-02-13,2,GROCERY,273.53,3
521,2024-02-13,2,PRODUCE,136.7,3
522,2024-02-13,2,DAIRY,69.71,0
523,2024-02-13,2,HOUSEHOLD,8.92,0
524,2024-02-13,3,GROCERY,257.01,3
525,2024-02-13,3,PRODUCE,61.07,0
526,2024-02-13,3,DAIRY,112.51,0
527,2024-02-13,3,HOUSEHOLD,41.75,0
528,2024-02-14,1,GROCERY,215.32,3
529,2024-02-14,1,PRODUCE,115.25,3
530,2024-02-14,1,DAIRY,83.13,0
531,2024-02-14,1,HOUSEHOLD,51.7,0
532,2024-02-14,2,GROCERY,227.24,3
533,2024-02-14,2,PRODUCE,101.52,0
534,2024-02-14,2,DAIRY,77.32,0
535,2024-02-14,2,HOUSEHOLD,4.32,0
536,2024-02-14,3,GROCERY,262.24,0
537,2024-02-14,3,PRODUCE,198.85,0
538,2024-02-14,3,DAIRY,100.96,0
539,2024-02-14,3,HOUSEHOLD,34.37,0
540,2024-02-15,1,GROCERY,228.09,3
541,2024-02-15,1,PRODUCE,5.79,0
542,2024-02-15,1,DAIRY,72.27,0
543,2024-02-15,1,HOUSEHOLD,35.26,0
544,2024-02-15,2,GROCERY,191.35,0
545,2024-02-15,2,PRODUCE,177.65,0
546,2024-02-15,2,DAIRY,100.55,0
547,2024-02-15,2,HOUSEHOLD,34.21,0
548,2024-02-15,3,GROCERY,240.25,0
549,2024-02-15,3,PRODUCE,113.94,0
550,2024-02-15,3,DAIRY,91.83,0
551,2024-02-15,3,HOUSEHOLD,13.24,0
552,2024-02-16,1,GROCERY,196.06,0
553,2024-02-16,1,PRODUCE,131.88,0
554,2024-02-16,1,DAIRY,80.16,0
555,2024-02-16,1,HOUSEHOLD,13.02,0
556,2024-02-16,2,GROCERY,256.93,0
557,2024-02-16,2,PRODUCE,204.68,0
558,2024-02-16,2,DAIRY,88.56,0
559,2024-02-16,2,HOUSEHOLD,20.09,0
560,2024-02-16,3,GROCERY,217.71,0
561,2024-02-16,3,PRODUCE,157.58,0
562,2024-02-16,3,DAIRY,84.6,0
563,2024-02-16,3,HOUSEHOLD,46.36,0
564,2024-02-17,1,GROCERY,228.4,0
565,2024-02-17,1,PRODUCE,44.59,0
566,2024-02-17,1,DAIRY,114.56,0
567,2024-02-17,1,HOUSEHOLD,73.13,0
568,2024-02-17,2,GROCERY,210.25,0
569,2024-02-17,2,PRODUCE,59.61,0
570,2024-02-17,2,DAIRY,97.63,0
571,2024-02-17,2,HOUSEHOLD,20.78,0
572,2024-02-17,3,GROCERY,282.56,0
573,2024-02-17,3,PRODUCE,0,0
574,2024-02-17,3,DAIRY,116.58,0
575,2024-02-17,3,HOUSEHOLD,113.0,0
